Group,Start,End,P/N,Description,ATA,Unit Hours,U/S Rem.,Rate U/S Rem.,U/S Rem rate UCL,Failures,Rate Fail.,Conf. Fail.,Other Fail.,No Fault,Not Reported,Not Reported %,MTBUR,MTBUR LCL,MTBUR %,MTTUR,MTBF,MTBF LCL,MTBF %,NFF Rate,NFF Rate UCL
Own Configuration,2021-11-01,2022-10-31,4315542,LIGHT,33,5438,2,0.367782273,1.467918326,0,0,0,0,0,2,100,2719,41.46219894,6557.780507,2,,,,,
Own Configuration,2021-12-01,2022-11-30,4315542,LIGHT,33,6052,2,0.330469266,1.395103034,0,0,0,0,0,2,100,3026,0,,2,,,,,
Own Configuration,2021-12-01,2022-11-30,49-170-11,SFCC,27,1464,3,2.049180328,43.43401268,0,0,0,0,1,2,66.66666667,488,0,,180,,,,1,1
Own Configuration,2021-11-01,2022-10-31,49-170-11,SFCC,27,1188,3,2.525252525,45.74285625,0,0,0,0,1,2,66.66666667,396,0,,180,,,,1,1
Own Configuration,2022-02-01,2023-01-31,49-170-11,SFCC,27,2063,3,1.454192923,39.61592786,0,0,0,0,1,2,66.66666667,688,0,,180,,,,1,1
Own Configuration,2022-01-01,2022-12-31,49-170-11,SFCC,27,1808,3,1.659292035,41.41125519,0,0,0,0,1,2,66.66666667,603,0,,180,,,,1,1
Own Configuration,2021-10-01,2022-09-30,49-170-11,SFCC,27,900,3,3.333333333,48.37819073,0,0,0,0,1,2,66.66666667,300,0,,180,,,,1,1
Own Configuration,2021-09-01,2022-08-31,49-170-11,SFCC,27,662,3,4.531722054,51.41532298,0,0,0,0,1,2,66.66666667,221,0,,180,,,,1,1
Own Configuration,2022-08-01,2023-07-31,49-170-11,SFCC,27,30501,2,0.065571621,5.494392359,0,0,0,0,1,1,50,15251,0,,268,,,,1,1
Own Configuration,2022-07-01,2023-06-30,49-170-11,SFCC,27,29564,2,0.067649844,5.730606888,0,0,0,0,1,1,50,14782,0,,268,,,,1,1
Own Configuration,2022-04-01,2023-03-31,49-170-11,SFCC,27,18144,3,0.165343915,36.65942909,0,0,0,0,1,2,66.66666667,6048,0,,180,,,,1,1
Own Configuration,2022-03-01,2023-02-28,49-170-11,SFCC,27,2327,3,1.28921358,38.01558706,0,0,0,0,1,2,66.66666667,776,0,,180,,,,1,1
Own Configuration,2022-06-01,2023-05-31,49-170-11,SFCC,27,28478,2,0.070229651,10.89118567,0,0,0,0,1,1,50,14239,0,,268,,,,1,1
Own Configuration,2022-05-01,2023-04-30,49-170-11,SFCC,27,27523,2,0.072666497,27.60975522,0,0,0,0,1,1,50,13762,0,,268,,,,1,1
Own Configuration,2022-07-01,2023-06-30,6773F010000,VALVE,36,30893,1,0.032369793,0.05385199,0,0,0,0,0,1,100,30893,22428.45117,137.740229,1415,,,,,
Own Configuration,2022-06-01,2023-05-31,6773F010000,VALVE,36,30095,1,0.033228111,0.047422999,0,0,0,0,0,1,100,30095,20765.87265,144.9252845,1415,,,,,
Own Configuration,2022-05-01,2023-04-30,6773F010000,VALVE,36,29198,1,0.034248921,0.03830521,0,0,0,0,0,1,100,29198,18401.48077,158.6720132,1415,,,,,
Own Configuration,2022-04-01,2023-03-31,6773F010000,VALVE,36,36672,1,0.027268761,0.023919883,0,0,0,0,0,1,100,36672,36672,100,1415,,,,,
Own Configuration,2022-08-01,2023-07-31,6773F010000,VALVE,36,31445,2,0.063603117,0.07500634,0,0,0,0,0,2,100,15723,7267.901865,216.3279072,919,,,,,
Own Configuration,2022-07-01,2023-06-30,6774E010000,VALVE-BLEED PRESSURE REGULATING,36,85,1,11.76470588,26.52211655,0,0,0,0,0,1,100,85,85,100,85,,,,,
Own Configuration,2022-08-01,2023-07-31,6774E010000,VALVE-BLEED PRESSURE REGULATING,36,85,1,11.76470588,25,0,0,0,0,0,1,100,85,85,100,85,,,,,
Own Configuration,2022-06-01,2023-05-31,6774E010000,VALVE-BLEED PRESSURE REGULATING,36,85,1,11.76470588,28.75933704,0,0,0,0,0,1,100,85,85,100,85,,,,,
Own Configuration,2022-05-01,2023-04-30,6774G010000,VALVE,36,21496,1,0.046520283,0.040807125,0,0,0,0,0,1,100,21496,21496,100,1299,,,,,
Own Configuration,2022-06-01,2023-05-31,6774G010000,VALVE,36,22799,1,0.043861573,0.055930929,0,0,0,0,0,1,100,22799,19613.75963,116.2398257,1299,,,,,
Own Configuration,2022-07-01,2023-06-30,6774G010000,VALVE,36,24082,1,0.04152479,0.065756312,0,0,0,0,0,1,100,24082,19236.54789,125.188782,1299,,,,,
Own Configuration,2022-08-01,2023-07-31,6774G010000,VALVE,36,25200,1,0.03968254,0.072537603,0,0,0,0,0,1,100,25200,18990.98308,132.6945524,1299,,,,,
Own Configuration,2022-08-01,2023-07-31,80-178-03-88013,LGCIU,32,65258,1,0.015323792,0.013441876,0,0,0,0,0,1,100,65258,65258,100,574,,,,,
Own Configuration,2021-11-01,2022-10-31,822-0297-020,RECEIVER,34,61540,1,0.016249594,0.019211236,0,0,0,0,0,1,100,61540,61540,100,111,,,,,
Own Configuration,2021-12-01,2022-11-30,822-0297-020,RECEIVER,34,62023,1,0.016123051,0.024652022,0,0,0,0,0,1,100,62023,60842.28542,101.9406151,111,,,,,
Own Configuration,2022-08-01,2023-07-31,822-0297-020,RECEIVER,34,87255,1,0.011460661,0.027781757,0,0,0,0,0,1,100,87255,35005.72258,249.2592455,111,,,,,
Own Configuration,2022-05-01,2023-04-30,822-0297-020,RECEIVER,34,90586,1,0.011039233,0.030659481,0,0,0,0,0,1,100,90586,38237.84738,236.9014111,111,,,,,
Own Configuration,2022-06-01,2023-05-31,822-0297-020,RECEIVER,34,91376,1,0.010943793,0.030205713,0,0,0,0,0,1,100,91376,34395.14406,265.6654086,111,,,,,
Own Configuration,2022-07-01,2023-06-30,822-0297-020,RECEIVER,34,92173,1,0.010849164,0.029280199,0,0,0,0,0,1,100,92173,33470.56829,275.3852256,111,,,,,
Own Configuration,2022-03-01,2023-02-28,822-0297-020,RECEIVER,34,63947,1,0.01563795,0.030139987,0,0,0,0,0,1,100,63947,60026.6519,106.5310124,111,,,,,
Own Configuration,2022-04-01,2023-03-31,822-0297-020,RECEIVER,34,64624,1,0.015474127,0.030716811,0,0,0,0,0,1,100,64624,59844.92615,107.9857628,111,,,,,
Own Configuration,2022-01-01,2022-12-31,822-0297-020,RECEIVER,34,62790,1,0.015926103,0.027504588,0,0,0,0,0,1,100,62790,60384.1928,103.9841672,111,,,,,
Own Configuration,2022-02-01,2023-01-31,822-0297-020,RECEIVER,34,63457,1,0.015758703,0.029150235,0,0,0,0,0,1,100,63457,60129.847,105.5332803,111,,,,,
Own Configuration,2022-01-01,2022-12-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1867,1,0.53561864,1.009805289,0,0,0,0,0,1,100,1867,1279.660348,145.8980895,535,,,,,
Own Configuration,2021-12-01,2022-11-30,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1696,1,0.589622642,0.939034672,0,0,0,0,0,1,100,1696,1356.208433,125.054524,535,,,,,
Own Configuration,2021-11-01,2022-10-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1557,1,0.642260758,0.759318846,0,0,0,0,0,1,100,1557,1557,100,535,,,,,
Own Configuration,2022-06-01,2023-05-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1374,1,0.727802038,1.223289123,0,0,0,0,0,1,100,1374,844.1143368,162.7741575,535,,,,,
Own Configuration,2022-05-01,2023-04-30,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1312,1,0.762195122,1.160349475,0,0,0,0,0,1,100,1312,943.9166825,138.9953186,535,,,,,
Own Configuration,2022-04-01,2023-03-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,2203,1,0.453926464,1.042647454,0,0,0,0,0,1,100,2203,1223.220588,180.0983422,535,,,,,
Own Configuration,2022-02-01,2023-01-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1995,1,0.501253133,1.038304567,0,0,0,0,0,1,100,1995,1250.795955,159.4984372,535,,,,,
Own Configuration,2022-03-01,2023-02-28,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,2117,1,0.472366556,1.045439181,0,0,0,0,0,1,100,2117,1228.256519,172.3581326,535,,,,,
Own Configuration,2022-08-01,2023-07-31,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1522,1,0.657030223,1.197278853,0,0,0,0,0,1,100,1522,849.8238698,179.0959344,535,,,,,
Own Configuration,2022-07-01,2023-06-30,8410B5-101-105,"CAMERA, DOOR, STONE GREY",23,1499,1,0.667111408,1.2308777,0,0,0,0,0,1,100,1499,840.1569585,178.4190424,535,,,,,
Own Configuration,2021-11-01,2022-10-31,89-01-07122,HANDSET,23,1819,2,1.099505223,1.516658866,0,0,0,0,0,2,100,910,213.9522334,425.0948848,483,,,,,
Own Configuration,2021-10-01,2022-09-30,89-01-07122,HANDSET,23,1391,1,0.718907261,0.926922693,0,0,0,0,0,1,100,1391,1391,100,372,,,,,
Own Configuration,2022-03-01,2023-02-28,89-01-07122,HANDSET,23,3499,2,0.571591883,1.597388972,0,0,0,0,0,2,100,1750,519.9878394,336.4501759,483,,,,,
Own Configuration,2022-02-01,2023-01-31,89-01-07122,HANDSET,23,3132,2,0.638569604,1.637762499,0,0,0,0,0,2,100,1566,561.7300988,278.781572,483,,,,,
Own Configuration,2022-01-01,2022-12-31,89-01-07122,HANDSET,23,2749,2,0.727537286,1.66515298,0,0,0,0,0,2,100,1375,566.5081404,242.6266989,483,,,,,
Own Configuration,2021-12-01,2022-11-30,89-01-07122,HANDSET,23,2234,2,0.895255148,1.656718896,0,0,0,0,0,2,100,1117,475.0027617,235.1565275,483,,,,,
Own Configuration,2022-07-01,2023-06-30,89-01-07122,HANDSET,23,4144,2,0.482625483,1.42893145,0,0,0,0,0,2,100,2072,530.6930235,390.4328695,483,,,,,
Own Configuration,2022-06-01,2023-05-31,89-01-07122,HANDSET,23,3923,2,0.509813918,1.495724142,0,0,0,0,0,2,100,1962,527.727253,371.6882138,483,,,,,
Own Configuration,2022-05-01,2023-04-30,89-01-07122,HANDSET,23,3797,2,0.52673163,1.536796818,0,0,0,0,0,2,100,1899,512.5826443,370.3792981,483,,,,,
Own Configuration,2022-04-01,2023-03-31,89-01-07122,HANDSET,23,3706,2,0.539665407,1.556296455,0,0,0,0,0,2,100,1853,502.160485,369.0055382,483,,,,,
Own Configuration,2022-08-01,2023-07-31,89-01-07122,HANDSET,23,4036,3,0.743310208,1.351292778,0,0,0,0,0,3,100,1345,542.6775774,247.9065636,753,,,,,
Own Configuration,2022-08-01,2023-07-31,891511-14,CYLINDER AND VALVE ASSEMBLIES,35,460,4,8.695652174,39.08992059,0,0,0,0,0,4,100,115,0,,34,,,,,
Own Configuration,2022-06-01,2023-05-31,891511-14,CYLINDER AND VALVE ASSEMBLIES,35,126,3,23.80952381,58.2034202,0,0,0,0,0,3,100,42,42,100,37,,,,,
Own Configuration,2022-07-01,2023-06-30,891511-14,CYLINDER AND VALVE ASSEMBLIES,35,283,4,14.13427562,45.57684544,0,0,0,0,0,4,100,71,0.469370112,15073.39264,34,,,,,
Own Configuration,2022-06-01,2023-05-31,89794077,CREW OXY CYLINDER 89794077,35,2567,3,1.168679392,1.715329614,0,0,0,0,0,3,100,856,525.8292003,162.727111,707,,,,,
Own Configuration,2022-05-01,2023-04-30,89794077,CREW OXY CYLINDER 89794077,35,2168,2,0.922509225,1.189436776,0,0,0,0,0,2,100,1084,1084,100,647,,,,,
Own Configuration,2022-08-01,2023-07-31,89794077,CREW OXY CYLINDER 89794077,35,3542,3,0.846979108,1.86953738,0,0,0,0,0,3,100,1181,662.6055045,178.1854601,707,,,,,
Own Configuration,2022-07-01,2023-06-30,89794077,CREW OXY CYLINDER 89794077,35,3090,3,0.970873786,1.84805791,0,0,0,0,0,3,100,1030,661.719235,155.6551398,707,,,,,
Own Configuration,2022-08-01,2023-07-31,9105A0005-02,SENSOR,21,2951,1,0.33886818,0.297251763,0,0,0,0,0,1,100,2951,2951,100,1893,,,,,
Own Configuration,2022-08-01,2023-07-31,9106A0005-02,SENSOR,21,4954,1,0.201857085,0.177067007,0,0,0,0,0,1,100,4954,4954,100,146,,,,,
Own Configuration,2022-06-01,2023-05-31,9599-607-14943,XCVR,34,65192,3,0.046017916,0.059138615,0,0,0,0,0,3,100,21731,0,,9892,,,,,
Own Configuration,2022-07-01,2023-06-30,9599-607-14943,XCVR,34,65976,3,0.04547108,0.069699311,0,0,0,0,0,3,100,21992,0,,9892,,,,,
Own Configuration,2022-08-01,2023-07-31,9599-607-14943,XCVR,34,9821,3,0.305467875,0.276265773,0,0,0,0,0,3,100,3274,0,,9892,,,,,
Own Configuration,2022-04-01,2023-03-31,9599-607-14943,XCVR,34,155828,3,0.019251996,0.016887657,0,0,0,0,0,3,100,51943,51942.66667,100,9892,,,,,
Own Configuration,2022-05-01,2023-04-30,9599-607-14943,XCVR,34,64494,3,0.046515955,0.044140344,0,0,0,0,0,3,100,21498,0,,9892,,,,,
Own Configuration,2022-08-01,2023-07-31,974540,PUMP,29,73108,1,0.013678394,0.027778257,0,0,0,0,0,1,100,73108,69860.30696,104.6488388,84,,,,,
Own Configuration,2022-07-01,2023-06-30,974540,PUMP,29,72217,1,0.013847155,0.026551125,0,0,0,0,0,1,100,72217,70173.36151,102.912271,84,,,,,
Own Configuration,2022-06-01,2023-05-31,974540,PUMP,29,71381,1,0.01400933,0.022765162,0,0,0,0,0,1,100,71381,71381,100,84,,,,,
Own Configuration,2022-08-01,2023-07-31,C19755BA01,EDU,31,586,1,1.706484642,7.63472469,0,0,0,0,0,1,100,586,0,,50,,,,,
Own Configuration,2022-05-01,2023-04-30,C19755BA01,EDU,31,184,1,5.434782609,5.434782609,0,0,0,0,0,1,100,184,184,100,50,,,,,
Own Configuration,2022-07-01,2023-06-30,C19755BA01,EDU,31,440,1,2.272727273,8.114195158,0,0,0,0,0,1,100,440,0,,50,,,,,
Own Configuration,2022-06-01,2023-05-31,C19755BA01,EDU,31,325,1,3.076923077,8.840813619,0,0,0,0,0,1,100,325,0,,50,,,,,
Own Configuration,2021-10-01,2022-09-30,C20229001,THERMCPL,32,39115,1,0.02556564,0.049112785,0,0,0,0,0,1,100,39115,39115,100,149,,,,,
Own Configuration,2022-08-01,2023-07-31,C20229001,THERMCPL,32,58077,3,0.051655561,0.073180993,0,0,0,0,0,3,100,19359,6259.597343,309.2690941,13068,,,,,
Own Configuration,2022-04-01,2023-03-31,C20229001,THERMCPL,32,40999,1,0.024390839,0.049739056,0,0,0,0,0,1,100,40999,38181.74226,107.3785468,149,,,,,
Own Configuration,2022-05-01,2023-04-30,C20229001,THERMCPL,32,55570,2,0.035990642,0.05308577,0,0,0,0,0,2,100,27785,26469.30816,104.9706318,19584,,,,,
Own Configuration,2022-03-01,2023-02-28,C20229001,THERMCPL,32,40628,1,0.024613567,0.050746654,0,0,0,0,0,1,100,40628,38292.06253,106.1003177,149,,,,,
Own Configuration,2022-07-01,2023-06-30,C20229001,THERMCPL,32,57168,3,0.05247691,0.071086403,0,0,0,0,0,3,100,19056,9498.447577,200.622258,13068,,,,,
Own Configuration,2022-06-01,2023-05-31,C20229001,THERMCPL,32,56258,3,0.053325749,0.064466645,0,0,0,0,0,3,100,18753,14987.91043,125.1186198,13068,,,,,
Own Configuration,2021-12-01,2022-11-30,C20229001,THERMCPL,32,39697,1,0.02519082,0.05345017,0,0,0,0,0,1,100,39697,38608.00616,102.8206425,149,,,,,
Own Configuration,2021-11-01,2022-10-31,C20229001,THERMCPL,32,39413,1,0.025372339,0.053172529,0,0,0,0,0,1,100,39413,38684.52599,101.8831147,149,,,,,
Own Configuration,2022-02-01,2023-01-31,C20229001,THERMCPL,32,40369,1,0.024771483,0.051765738,0,0,0,0,0,1,100,40369,38357.59593,105.2438221,149,,,,,
Own Configuration,2022-01-01,2022-12-31,C20229001,THERMCPL,32,40061,1,0.024961933,0.052742232,0,0,0,0,0,1,100,40061,38461.37731,104.1590364,149,,,,,
Own Configuration,2022-08-01,2023-07-31,DV8456701-5,TLU,27,64565,2,0.030976535,0.027172306,0,0,0,0,0,2,100,32283,32282.5,100,14298,,,,,
Own Configuration,2022-07-01,2023-06-30,E21327006,BRAKING/STEERING CTL UNIT,32,20257,1,0.049365651,23.20926033,0,0,0,0,0,1,100,20257,0,,10,,,,,
Own Configuration,2022-06-01,2023-05-31,E21327006,BRAKING/STEERING CTL UNIT,32,19958,1,0.050105221,24.75304333,0,0,0,0,0,1,100,19958,0,,10,,,,,
Own Configuration,2022-05-01,2023-04-30,E21327006,BRAKING/STEERING CTL UNIT,32,19786,1,0.050540786,26.58686337,0,0,0,0,0,1,100,19786,0,,10,,,,,
Own Configuration,2022-04-01,2023-03-31,E21327006,BRAKING/STEERING CTL UNIT,32,555,1,1.801801802,28.75909982,0,0,0,0,0,1,100,555,0,,10,,,,,
Own Configuration,2022-03-01,2023-02-28,E21327006,BRAKING/STEERING CTL UNIT,32,470,1,2.127659574,32.02200816,0,0,0,0,0,1,100,470,0,,10,,,,,
Own Configuration,2022-02-01,2023-01-31,E21327006,BRAKING/STEERING CTL UNIT,32,347,1,2.88184438,36.6974419,0,0,0,0,0,1,100,347,0,,10,,,,,
Own Configuration,2022-01-01,2022-12-31,E21327006,BRAKING/STEERING CTL UNIT,32,220,1,4.545454545,44.36188518,0,0,0,0,0,1,100,220,0,,10,,,,,
Own Configuration,2021-12-01,2022-11-30,E21327006,BRAKING/STEERING CTL UNIT,32,48,1,20.83333333,20.83333333,0,0,0,0,0,1,100,48,48,100,10,,,,,
Own Configuration,2022-08-01,2023-07-31,E21327006,BRAKING/STEERING CTL UNIT,32,20557,1,0.04864523,21.89757317,0,0,0,0,0,1,100,20557,0,,10,,,,,
Own Configuration,2022-05-01,2023-04-30,HG2030AE23,ADIRU,34,194621,1,0.005138192,0.015988212,0,0,0,0,0,1,100,194621,37970.57269,512.5574523,186,,,,,
Own Configuration,2022-06-01,2023-05-31,HG2030AE23,ADIRU,34,196063,1,0.005100401,0.015725258,0,0,0,0,0,1,100,196063,35257.43798,556.0897536,186,,,,,
Own Configuration,2022-07-01,2023-06-30,HG2030AE23,ADIRU,34,197681,1,0.005058655,0.015263169,0,0,0,0,0,1,100,197681,36538.11646,541.0267938,186,,,,,
Own Configuration,2022-08-01,2023-07-31,HG2030AE23,ADIRU,34,170664,1,0.005859467,0.014592138,0,0,0,0,0,1,100,170664,43490.38236,392.4177961,186,,,,,
Own Configuration,2021-11-01,2022-10-31,HG2030AE23,ADIRU,34,112867,1,0.008859986,0.010474802,0,0,0,0,0,1,100,112867,112867,100,186,,,,,
Own Configuration,2021-12-01,2022-11-30,HG2030AE23,ADIRU,34,113715,1,0.008793915,0.013443573,0,0,0,0,0,1,100,113715,111642.027,101.8568035,186,,,,,
Own Configuration,2022-02-01,2023-01-31,HG2030AE23,ADIRU,34,116020,1,0.008619204,0.015912921,0,0,0,0,0,1,100,116020,110576.2763,104.9230485,186,,,,,
Own Configuration,2022-01-01,2022-12-31,HG2030AE23,ADIRU,34,114995,1,0.00869603,0.015005354,0,0,0,0,0,1,100,114995,110912.9708,103.6803894,186,,,,,
Own Configuration,2022-03-01,2023-02-28,HG2030AE23,ADIRU,34,116869,1,0.008556589,0.016460553,0,0,0,0,0,1,100,116869,110400.1955,105.859414,186,,,,,
Own Configuration,2022-04-01,2023-03-31,HG2030AE23,ADIRU,34,179248,1,0.005578863,0.016083163,0,0,0,0,0,1,100,179248,53257.29694,336.5698417,186,,,,,
Own Configuration,2022-08-01,2023-07-31,M01103−02,MICHELIN MLG TYRE 46 X 17 R 20,32-40,7130,1,0.140252454,0.307294865,0,0,0,0,0,1,100,7130,517.5094314,1377.752668,0,,,,,
Own Configuration,2022-07-01,2023-06-30,M01103−02,MICHELIN MLG TYRE 46 X 17 R 20,32-40,4425,1,0.225988701,0.29137841,0,0,0,0,0,1,100,4425,4425,100,0,,,,,
Own Configuration,2022-06-01,2023-05-31,MXP801-11,STWGBOX,35,366709,1,0.002726958,0.00239206,0,0,0,0,0,1,100,366709,366709,100,68,,,,,
Own Configuration,2022-08-01,2023-07-31,MXP801-11,STWGBOX,35,258976,1,0.003861362,0.004704279,0,0,0,0,0,1,100,258976,158289.6591,163.6089189,68,,,,,
Own Configuration,2022-07-01,2023-06-30,MXP801-11,STWGBOX,35,369767,1,0.002704406,0.003359607,0,0,0,0,0,1,100,369767,362291.5855,102.0633696,68,,,,,
Own Configuration,2022-08-01,2023-07-31,TLS755-01-0102A,MMR RECEIVER,34,870,2,2.298850575,5.140373863,0,0,0,0,0,2,100,435,84.20798647,516.5780803,184,,,,,
Own Configuration,2022-07-01,2023-06-30,TLS755-01-0102A,MMR RECEIVER,34,583,2,3.430531732,4.90510253,0,0,0,0,0,2,100,292,291.5,100,184,,,,,
Own Configuration,2022-08-01,2023-07-31,VFT210B00,"VALVE, SKIN AIR-INLET",21,16889,1,0.059210137,0.079799609,1,0.059210137,1,0,0,0,0,16889,10641.7933,158.7044545,1005,16889,10641.7933,158.7044545,0,0
Own Configuration,2022-07-01,2023-06-30,VFT210B00,"VALVE, SKIN AIR-INLET",21,33163,1,0.030154087,0.067312119,1,0.030154087,1,0,0,0,0,33163,17785.17047,186.4643359,1005,33163,17785.17047,186.4643359,0,0
Own Configuration,2022-06-01,2023-05-31,VFT210B00,"VALVE, SKIN AIR-INLET",21,31470,1,0.031776295,0.065125092,1,0.031776295,1,0,0,0,0,31470,16707.38931,188.3597696,1005,31470,16707.38931,188.3597696,0,0
Own Configuration,2022-05-01,2023-04-30,VFT210B00,"VALVE, SKIN AIR-INLET",21,30814,1,0.032452781,0.061339707,1,0.032452781,1,0,0,0,0,30814,14836.9343,207.6844137,1005,30814,14836.9343,207.6844137,0,0
Own Configuration,2022-04-01,2023-03-31,VFT210B00,"VALVE, SKIN AIR-INLET",21,34384,1,0.029083295,0.056029462,1,0.029083295,1,0,0,0,0,34384,11828.36063,290.6911708,1005,34384,11828.36063,290.6911708,0,0
Own Configuration,2022-03-01,2023-02-28,VFT210B00,"VALVE, SKIN AIR-INLET",21,24571,1,0.040698384,0.053085859,1,0.040698384,1,0,0,0,0,24571,23649.40704,103.8968967,1005,24571,23649.40704,103.8968967,0,0
Own Configuration,2022-02-01,2023-01-31,VFT210B00,"VALVE, SKIN AIR-INLET",21,24194,1,0.041332562,0.040077141,1,0.041332562,1,0,0,0,0,24194,24194,100,1005,24194,24194,100,0,0
