Group,Start,End,ATA,Description,Pireps,Maint.Def.,Cabin Def.,Sched.W/O,Total W/O,Pir.Rate,Pir.Rate UCL,Pir.Rate 12mth,Maint.Def.Rate,Maint.Def.Rate UCL,Maint.Def.Rate 12mth,Cabin Def.Rate,Cab.Def.Rate UCL,Cab.Def.Rate 12mth,Total U/S W/O Rate,Sched.W/O Rate
PAS A320 Fleet,2023-03-01,2023-03-31,49,AIRBORNE AUXILIARY POWER (APU),0,0,0,1,1,0.00,10.83,1.43,0.00,3.22,0.54,0.00,0.00,0.00,0.00,1.79
PAS A320 Fleet,2023-04-01,2023-04-30,49,AIRBORNE AUXILIARY POWER (APU),4,2,0,3,9,6.11,11.94,1.94,3.05,4.08,0.79,0.00,0.00,0.00,9.16,4.58
PAS A320 Fleet,2023-05-01,2023-05-31,49,AIRBORNE AUXILIARY POWER (APU),2,1,0,0,3,2.46,12.00,2.15,1.23,4.12,0.90,0.00,0.00,0.00,3.69,0.00
PAS A320 Fleet,2023-06-01,2023-06-30,49,AIRBORNE AUXILIARY POWER (APU),0,3,0,3,6,0.00,10.63,1.57,3.18,4.75,1.16,0.00,0.00,0.00,3.18,3.18
PAS A320 Fleet,2022-10-01,2022-10-31,51,STANDARD PRACTICES AND STRUCTURES - GENERAL,0,1,0,0,1,0.00,0.00,0.00,2.24,17.61,1.85,0.00,0.00,0.00,2.24,0.00
PAS A320 Fleet,2023-05-01,2023-05-31,51,STANDARD PRACTICES AND STRUCTURES - GENERAL,0,1,0,0,1,0.00,0.00,0.00,1.23,2.24,0.29,0.00,0.00,0.00,1.23,0.00
PAS A320 Fleet,2022-08-01,2022-08-31,52,DOORS,0,3,0,0,3,0.00,0.00,0.00,7.27,25.46,2.95,0.00,0.00,0.00,7.27,0.00
PAS A320 Fleet,2022-09-01,2022-09-30,52,DOORS,0,3,0,0,3,0.00,0.00,0.00,6.16,25.95,3.46,0.00,0.00,0.00,6.16,0.00
PAS A320 Fleet,2022-10-01,2022-10-31,52,DOORS,0,3,0,0,3,0.00,0.00,0.00,6.72,26.43,4.02,0.00,0.00,0.00,6.72,0.00
PAS A320 Fleet,2022-11-01,2022-11-30,52,DOORS,0,5,0,3,8,0.00,0.00,0.00,13.16,28.32,5.12,0.00,0.00,0.00,13.16,7.89
PAS A320 Fleet,2022-12-01,2022-12-31,52,DOORS,2,10,0,2,14,3.60,3.16,0.30,18.02,31.45,6.62,0.00,0.00,0.00,21.63,3.60
PAS A320 Fleet,2023-01-01,2023-01-31,52,DOORS,1,3,0,1,5,2.17,3.68,0.48,6.50,31.33,7.16,0.00,0.00,0.00,8.66,2.17
PAS A320 Fleet,2023-02-01,2023-02-28,52,DOORS,2,5,0,0,7,5.39,5.93,0.93,13.48,32.07,8.28,0.00,0.00,0.00,18.87,0.00
PAS A320 Fleet,2023-03-01,2023-03-31,52,DOORS,5,2,0,3,10,8.95,9.68,1.68,3.58,31.67,8.58,0.00,0.00,0.00,12.53,5.37
PAS A320 Fleet,2023-04-01,2023-04-30,52,DOORS,3,7,0,6,16,4.58,10.22,2.06,10.69,23.18,7.13,0.00,0.00,0.00,15.27,9.16
PAS A320 Fleet,2023-05-01,2023-05-31,52,DOORS,1,2,0,16,19,1.23,10.17,2.16,2.46,22.74,7.34,0.00,0.00,0.00,3.69,19.66
PAS A320 Fleet,2023-06-01,2023-06-30,52,DOORS,1,2,0,18,21,1.06,10.11,2.25,2.12,22.30,7.51,0.00,0.00,0.00,3.18,19.06
PAS A320 Fleet,2022-07-01,2022-07-31,53,FUSELAGE,0,2,0,0,2,0.00,0.00,0.00,6.39,8.23,1.11,0.00,0.00,0.00,6.39,0.00
PAS A320 Fleet,2022-08-01,2022-08-31,53,FUSELAGE,1,0,0,0,1,2.42,2.13,0.20,0.00,8.23,1.11,0.00,0.00,0.00,2.42,0.00
PAS A320 Fleet,2022-09-01,2022-09-30,53,FUSELAGE,0,0,0,2,2,0.00,2.13,0.20,0.00,8.23,1.11,0.00,0.00,0.00,0.00,4.11
PAS A320 Fleet,2022-11-01,2022-11-30,53,FUSELAGE,0,1,0,0,1,0.00,2.13,0.20,2.63,8.47,1.33,0.00,0.00,0.00,2.63,0.00
PAS A320 Fleet,2022-12-01,2022-12-31,53,FUSELAGE,0,1,0,2,3,0.00,2.13,0.20,1.80,8.53,1.48,0.00,0.00,0.00,1.80,3.60
PAS A320 Fleet,2023-01-01,2023-01-31,53,FUSELAGE,0,3,0,1,4,0.00,2.13,0.20,6.50,9.97,2.02,0.00,0.00,0.00,6.50,2.17
PAS A320 Fleet,2023-02-01,2023-02-28,53,FUSELAGE,1,1,0,1,3,2.70,3.17,0.43,2.70,10.01,2.24,0.00,0.00,0.00,5.39,2.70
PAS A320 Fleet,2023-03-01,2023-03-31,53,FUSELAGE,0,2,0,0,2,0.00,3.17,0.43,3.58,10.11,2.54,0.00,0.00,0.00,3.58,0.00
PAS A320 Fleet,2023-04-01,2023-04-30,53,FUSELAGE,1,3,0,3,7,1.53,3.40,0.55,4.58,10.31,2.92,0.00,0.00,0.00,6.11,4.58
PAS A320 Fleet,2023-06-01,2023-06-30,53,FUSELAGE,0,0,0,4,4,0.00,3.40,0.55,0.00,9.19,2.35,0.00,0.00,0.00,0.00,4.24
PAS A320 Fleet,2023-01-01,2023-01-31,54,NACELLES / PYLONS,0,1,0,0,1,0.00,0.00,0.00,2.17,1.90,0.18,0.00,0.00,0.00,2.17,0.00
PAS A320 Fleet,2023-03-01,2023-03-31,54,NACELLES / PYLONS,0,1,0,0,1,0.00,0.00,0.00,1.79,2.46,0.33,0.00,0.00,0.00,1.79,0.00
PAS A320 Fleet,2023-06-01,2023-06-30,54,NACELLES / PYLONS,0,2,0,0,2,0.00,0.00,0.00,2.12,3.04,0.51,0.00,0.00,0.00,2.12,0.00
PAS A320 Fleet,2022-07-01,2022-07-31,56,WINDOWS,1,0,0,0,1,3.19,2.80,0.27,0.00,0.00,0.00,0.00,0.00,0.00,3.19,0.00
PAS A320 Fleet,2022-10-01,2022-10-31,56,WINDOWS,1,0,0,0,1,2.24,3.41,0.45,0.00,0.00,0.00,0.00,0.00,0.00,2.24,0.00
PAS A320 Fleet,2022-11-01,2022-11-30,56,WINDOWS,1,1,0,0,2,2.63,4.06,0.67,2.63,2.31,0.22,0.00,0.00,0.00,5.26,0.00
PAS A320 Fleet,2023-01-01,2023-01-31,56,WINDOWS,0,1,0,0,1,0.00,4.06,0.67,2.17,2.98,0.40,0.00,0.00,0.00,2.17,0.00
PAS A320 Fleet,2023-02-01,2023-02-28,56,WINDOWS,0,1,0,1,2,0.00,4.06,0.67,2.70,3.75,0.62,0.00,0.00,0.00,2.70,2.70
PAS A320 Fleet,2023-04-01,2023-04-30,56,WINDOWS,0,0,0,1,1,0.00,4.06,0.67,0.00,3.75,0.62,0.00,0.00,0.00,0.00,1.53
PAS A320 Fleet,2023-05-01,2023-05-31,56,WINDOWS,0,0,0,1,1,0.00,4.06,0.67,0.00,3.75,0.62,0.00,0.00,0.00,0.00,1.23
PAS A320 Fleet,2022-07-01,2022-07-31,57,WINGS,0,1,0,0,1,0.00,0.00,0.00,3.19,12.64,1.44,0.00,0.00,0.00,3.19,0.00
PAS A320 Fleet,2022-08-01,2022-08-31,57,WINGS,0,2,0,0,2,0.00,0.00,0.00,4.85,13.27,1.84,0.00,0.00,0.00,4.85,0.00
PAS A320 Fleet,2022-12-01,2022-12-31,57,WINGS,0,1,0,0,1,0.00,0.00,0.00,1.80,13.31,1.99,0.00,0.00,0.00,1.80,0.00
PAS A320 Fleet,2023-01-01,2023-01-31,57,WINGS,0,3,0,0,3,0.00,0.00,0.00,6.50,14.24,2.53,0.00,0.00,0.00,6.50,0.00
PAS A320 Fleet,2023-02-01,2023-02-28,57,WINGS,0,0,0,1,1,0.00,0.00,0.00,0.00,14.24,2.53,0.00,0.00,0.00,0.00,2.70
PAS A320 Fleet,2023-04-01,2023-04-30,57,WINGS,0,0,0,2,2,0.00,0.00,0.00,0.00,7.62,1.36,0.00,0.00,0.00,0.00,3.05
PAS A320 Fleet,2023-05-01,2023-05-31,57,WINGS,0,0,0,3,3,0.00,0.00,0.00,0.00,7.62,1.36,0.00,0.00,0.00,0.00,3.69
PAS A320 Fleet,2023-06-01,2023-06-30,57,WINGS,0,0,0,1,1,0.00,0.00,0.00,0.00,7.62,1.36,0.00,0.00,0.00,0.00,1.06
PAS A320 Fleet,2022-09-01,2022-09-30,70,STANDARD PRACTICES - ENGINE,1,0,0,0,1,2.05,1.80,0.17,0.00,0.00,0.00,0.00,0.00,0.00,2.05,0.00
PAS A320 Fleet,2022-08-01,2022-08-31,71,POWER PLANT - GENERAL,1,1,0,0,2,2.42,2.13,0.20,2.42,2.13,0.20,0.00,0.00,0.00,4.85,0.00
PAS A320 Fleet,2022-09-01,2022-09-30,71,POWER PLANT - GENERAL,0,4,0,3,7,0.00,2.13,0.20,8.22,7.52,0.89,0.00,0.00,0.00,8.22,6.16
PAS A320 Fleet,2022-11-01,2022-11-30,71,POWER PLANT - GENERAL,0,1,0,0,1,0.00,2.13,0.20,2.63,7.82,1.11,0.00,0.00,0.00,2.63,0.00
PAS A320 Fleet,2023-01-01,2023-01-31,71,POWER PLANT - GENERAL,0,0,0,1,1,0.00,2.13,0.20,0.00,7.82,1.11,0.00,0.00,0.00,0.00,2.17
PAS A320 Fleet,2023-03-01,2023-03-31,71,POWER PLANT - GENERAL,1,1,0,1,3,1.79,2.64,0.35,1.79,7.92,1.26,0.00,0.00,0.00,3.58,1.79
PAS A320 Fleet,2023-04-01,2023-04-30,71,POWER PLANT - GENERAL,0,5,0,0,5,0.00,2.64,0.35,7.63,10.14,1.89,0.00,0.00,0.00,7.63,0.00
PAS A320 Fleet,2023-05-01,2023-05-31,71,POWER PLANT - GENERAL,0,1,0,2,3,0.00,2.64,0.35,1.23,10.10,1.99,0.00,0.00,0.00,1.23,2.46
PAS A320 Fleet,2022-08-01,2022-08-31,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",0,2,0,0,2,0.00,0.00,0.00,4.85,4.25,0.40,0.00,0.00,0.00,4.85,0.00
PAS A320 Fleet,2022-09-01,2022-09-30,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",1,0,0,1,2,2.05,1.80,0.17,0.00,4.25,0.40,0.00,0.00,0.00,2.05,2.05
PAS A320 Fleet,2022-10-01,2022-10-31,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",0,2,0,0,2,0.00,1.80,0.17,4.48,5.78,0.78,0.00,0.00,0.00,4.48,0.00
PAS A320 Fleet,2022-11-01,2022-11-30,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",0,2,0,0,2,0.00,1.80,0.17,5.26,7.28,1.22,0.00,0.00,0.00,5.26,0.00
PAS A320 Fleet,2022-12-01,2022-12-31,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",0,1,0,0,1,0.00,1.80,0.17,1.80,7.35,1.37,0.00,0.00,0.00,1.80,0.00
PAS A320 Fleet,2023-01-01,2023-01-31,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",0,12,0,0,12,0.00,1.80,0.17,25.99,23.85,3.53,0.00,0.00,0.00,25.99,0.00
PAS A320 Fleet,2023-03-01,2023-03-31,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",0,3,0,0,3,0.00,1.80,0.17,5.37,24.10,3.98,0.00,0.00,0.00,5.37,0.00
PAS A320 Fleet,2023-05-01,2023-05-31,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",0,0,0,3,3,0.00,1.80,0.17,0.00,24.10,3.98,0.00,0.00,0.00,0.00,3.69
PAS A320 Fleet,2023-06-01,2023-06-30,72,"ENGINE - TURBINE / TURBOPROP, DUCTED FAN / UNDUCTED FAN",0,0,0,2,2,0.00,1.80,0.17,0.00,24.10,3.98,0.00,0.00,0.00,0.00,2.12
PAS A320 Fleet,2022-09-01,2022-09-30,73,ENGINE - FUEL AND CONTROL,3,0,0,0,3,6.16,13.44,1.68,0.00,0.00,0.00,0.00,0.00,0.00,6.16,0.00
PAS A320 Fleet,2022-12-01,2022-12-31,73,ENGINE - FUEL AND CONTROL,3,1,0,5,9,5.41,14.14,2.13,1.80,1.58,0.15,0.00,0.00,0.00,7.21,9.01
PAS A320 Fleet,2023-01-01,2023-01-31,73,ENGINE - FUEL AND CONTROL,2,5,0,0,7,4.33,14.46,2.50,10.83,9.64,1.05,0.00,0.00,0.00,15.16,0.00
PAS A320 Fleet,2023-02-01,2023-02-28,73,ENGINE - FUEL AND CONTROL,4,0,0,0,4,10.78,16.79,3.39,0.00,9.64,1.05,0.00,0.00,0.00,10.78,0.00
PAS A320 Fleet,2023-03-01,2023-03-31,73,ENGINE - FUEL AND CONTROL,4,1,0,0,5,7.16,17.35,3.99,1.79,9.76,1.20,0.00,0.00,0.00,8.95,0.00
PAS A320 Fleet,2023-04-01,2023-04-30,73,ENGINE - FUEL AND CONTROL,8,1,0,0,9,12.22,16.30,3.84,1.53,9.82,1.33,0.00,0.00,0.00,13.74,0.00
PAS A320 Fleet,2023-05-01,2023-05-31,73,ENGINE - FUEL AND CONTROL,4,2,0,1,7,4.91,16.27,4.25,2.46,9.99,1.53,0.00,0.00,0.00,7.37,1.23
PAS A320 Fleet,2023-06-01,2023-06-30,73,ENGINE - FUEL AND CONTROL,6,1,0,0,7,6.35,16.31,4.78,1.06,9.98,1.62,0.00,0.00,0.00,7.41,0.00
PAS A320 Fleet,2022-09-01,2022-09-30,75,BLEED AIR,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.11
PAS A320 Fleet,2022-11-01,2022-11-30,75,BLEED AIR,0,1,0,0,1,0.00,0.00,0.00,2.63,2.31,0.22,0.00,0.00,0.00,2.63,0.00
PAS A320 Fleet,2023-01-01,2023-01-31,75,BLEED AIR,1,0,0,0,1,2.17,1.90,0.18,0.00,2.31,0.22,0.00,0.00,0.00,2.17,0.00
PAS A320 Fleet,2023-02-01,2023-02-28,75,BLEED AIR,1,0,0,0,1,2.70,3.03,0.41,0.00,2.31,0.22,0.00,0.00,0.00,2.70,0.00
PAS A320 Fleet,2023-03-01,2023-03-31,75,BLEED AIR,1,0,0,0,1,1.79,3.36,0.55,0.00,2.31,0.22,0.00,0.00,0.00,1.79,0.00
PAS A320 Fleet,2023-04-01,2023-04-30,75,BLEED AIR,0,14,0,0,14,0.00,3.36,0.55,21.38,18.91,2.00,0.00,0.00,0.00,21.38,0.00
PAS A320 Fleet,2023-05-01,2023-05-31,75,BLEED AIR,2,0,0,0,2,2.46,3.89,0.76,0.00,18.91,2.00,0.00,0.00,0.00,2.46,0.00
PAS A320 Fleet,2022-11-01,2022-11-30,77,ENGINE INDICATING,0,1,0,0,1,0.00,0.00,0.00,2.63,2.31,0.22,0.00,0.00,0.00,2.63,0.00
PAS A320 Fleet,2023-03-01,2023-03-31,77,ENGINE INDICATING,0,1,0,0,1,0.00,0.00,0.00,1.79,2.79,0.37,0.00,0.00,0.00,1.79,0.00
PAS A320 Fleet,2023-05-01,2023-05-31,77,ENGINE INDICATING,0,1,0,0,1,0.00,0.00,0.00,1.23,2.96,0.47,0.00,0.00,0.00,1.23,0.00
PAS A320 Fleet,2022-07-01,2022-07-31,78,EXHAUST,3,0,0,0,3,9.58,10.33,1.37,0.00,0.00,0.00,0.00,0.00,0.00,9.58,0.00
PAS A320 Fleet,2022-08-01,2022-08-31,78,EXHAUST,1,0,0,0,1,2.42,10.49,1.58,0.00,0.00,0.00,0.00,0.00,0.00,2.42,0.00
PAS A320 Fleet,2022-11-01,2022-11-30,78,EXHAUST,0,0,0,1,1,0.00,10.49,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.63
PAS A320 Fleet,2023-03-01,2023-03-31,78,EXHAUST,0,0,0,2,2,0.00,10.49,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.58
PAS A320 Fleet,2023-04-01,2023-04-30,78,EXHAUST,0,3,0,2,5,0.00,10.49,1.58,4.58,4.02,0.38,0.00,0.00,0.00,4.58,3.05
PAS A320 Fleet,2023-01-01,2023-01-31,79,OIL,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33
PAS A320 Fleet,2023-04-01,2023-04-30,79,OIL,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.05
PAS A320 Fleet,2023-05-01,2023-05-31,79,OIL,0,1,0,3,4,0.00,0.00,0.00,1.23,1.08,0.10,0.00,0.00,0.00,1.23,3.69
PAS A320 Fleet,2023-06-01,2023-06-30,79,OIL,3,0,0,2,5,3.18,2.79,0.26,0.00,1.08,0.10,0.00,0.00,0.00,3.18,2.12
PAS A320 Fleet,2022-11-01,2022-11-30,80,STARTING,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26
PAS A320 Fleet,2022-12-01,2022-12-31,80,STARTING,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60
PAS A320 Fleet,2023-01-01,2023-01-31,80,STARTING,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33
PAS A320 Fleet,2023-02-01,2023-02-28,80,STARTING,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.39
PAS A320 Fleet,2023-03-01,2023-03-31,80,STARTING,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79
PAS A320 Fleet,2023-04-01,2023-04-30,80,STARTING,0,0,0,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.16
PAS A320 Fleet,2023-05-01,2023-05-31,80,STARTING,0,0,0,14,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.20
PAS A320 Fleet,2023-06-01,2023-06-30,80,STARTING,0,0,0,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.24
